flood_score,earthquake_score,wind_score,natcat_score
0.3,0.6,0.9997176732861306,0.53
0.9,0.6,0.9966368370739054,0.83
0.3,0.6,0.5554317056026274,0.44
0.6,0.3,0.7689874151805105,0.54
0.3,0.6,0.944765729882428,0.52
0.9,0.6,0.8496473906774115,0.8
0.9,0.9,0.24734810174319766,0.77
0.6,0.6,0.4505441353100935,0.57
0.3,0.9,0.12915941515149498,0.45
0.9,0.3,0.9540510272587224,0.73
0.6,0.3,0.60617463445088,0.51
0.9,0.3,0.22864280550346272,0.59
0.9,0.3,0.6717006844058567,0.67
0.3,0.9,0.6181282404578958,0.54
0.9,0.6,0.3581627180328405,0.7
0.3,0.3,0.11355759219962902,0.26
0.9,0.6,0.6715731955927996,0.76
0.6,0.9,0.5203077009037933,0.67
0.9,0.9,0.7723183917356393,0.87
0.3,0.9,0.5201635011119934,0.52
0.3,0.3,0.8521815003185401,0.41
0.6,0.6,0.5519068387744855,0.59
0.9,0.6,0.5609379715353863,0.74
0.9,0.6,0.876653602658345,0.81
0.6,0.9,0.40348286621239704,0.65
0.9,0.3,0.13401522845064073,0.57
0.9,0.9,0.028782676313338973,0.73
0.3,0.9,0.755137255673619,0.57
0.9,0.6,0.6203095513534647,0.75
0.9,0.9,0.7040797680992236,0.86
0.6,0.6,0.21296416150891073,0.52
0.6,0.3,0.13637147558676976,0.42
0.3,0.6,0.014544665667881929,0.33
0.9,0.3,0.350587558806597,0.61
0.9,0.6,0.5899176868546331,0.75
0.9,0.9,0.3922440450997323,0.8
0.3,0.9,0.43747492202372906,0.51
0.3,0.3,0.9041586944937484,0.42
0.6,0.3,0.34825546702330035,0.46
0.3,0.3,0.5139894891598108,0.34
0.9,0.6,0.7836530127411431,0.79
0.9,0.6,0.39654278232127016,0.71
0.3,0.3,0.6220867002278735,0.36
0.9,0.9,0.8623637087467452,0.89
0.9,0.6,0.9495206236576421,0.82
0.3,0.6,0.14707348092903794,0.36
0.3,0.6,0.9265876251614944,0.52
0.9,0.3,0.4921162930795382,0.64
0.9,0.3,0.25824438829895835,0.59
0.9,0.3,0.4591357562382613,0.63
0.6,0.3,0.980032575285477,0.59
0.6,0.3,0.4926180939928696,0.49
0.6,0.9,0.3287516102875082,0.64
0.3,0.9,0.6334008543167258,0.55
0.6,0.3,0.24014561877819307,0.44
0.3,0.6,0.07586332810866392,0.35
0.3,0.3,0.12887972191064923,0.27
0.6,0.9,0.12804583895777244,0.6
0.6,0.9,0.15190269351229435,0.6
0.6,0.6,0.13882717264941014,0.51
0.9,0.9,0.6408747448032146,0.85
0.6,0.3,0.18188008439914483,0.43
0.9,0.6,0.3456672833238632,0.7
0.3,0.3,0.8967884099060118,0.42
0.9,0.3,0.47396164026287235,0.63
0.6,0.6,0.6675577385210272,0.61
0.3,0.3,0.17231987120162984,0.27
0.3,0.9,0.19228901880867078,0.46
0.3,0.3,0.04086861626647886,0.25
0.9,0.6,0.16893506307216455,0.66
0.6,0.6,0.2785903390319586,0.54
0.3,0.6,0.17701048427674682,0.37
0.3,0.3,0.08870253375705561,0.26
0.3,0.6,0.12063587110060081,0.35
0.9,0.6,0.46077876803272577,0.72
0.9,0.3,0.2063337184057925,0.58
0.6,0.9,0.36426986104807546,0.64
0.9,0.3,0.5034172708548569,0.64
0.3,0.6,0.6903948286293653,0.47
0.6,0.6,0.039312139841098936,0.49
0.3,0.3,0.7994103989090426,0.4
0.3,0.9,0.6279003894909078,0.55
0.9,0.6,0.08175903194887191,0.65
0.6,0.6,0.8735786241067772,0.65
0.9,0.6,0.9208724005318132,0.81
0.9,0.3,0.06107795985486375,0.55
0.6,0.6,0.2768776481472037,0.54
0.3,0.9,0.8062012797930613,0.58
0.3,0.6,0.7482596903836584,0.48
0.6,0.6,0.18452101935637732,0.52
0.3,0.9,0.2093493233367103,0.46
0.6,0.6,0.370472102791382,0.55
0.6,0.3,0.4845229851910213,0.49
0.9,0.3,0.618254771530296,0.66
0.6,0.3,0.3689136395697724,0.46
0.9,0.9,0.4625347161331479,0.81
0.3,0.6,0.7474709381337565,0.48
0.3,0.3,0.0366832028905979,0.25
0.3,0.9,0.25243694434402075,0.47
0.3,0.6,0.7133495858845524,0.47
0.9,0.9,0.8952068376871993,0.9
0.3,0.3,0.5116774421156661,0.34
0.6,0.3,0.5321134852653157,0.5
0.6,0.3,0.10717201133977605,0.41
0.6,0.9,0.44741236682345464,0.66
0.9,0.9,0.5326172664550232,0.83
0.3,0.3,0.24247050363472966,0.29
0.3,0.9,0.26924323094938096,0.47
0.3,0.3,0.37728416310462265,0.32
0.9,0.3,0.02007119777772637,0.54
0.6,0.6,0.3220791655831783,0.54
0.6,0.9,0.21144800699654465,0.61
0.3,0.3,0.32749735217791465,0.31
0.6,0.3,0.11976213181925122,0.41
0.6,0.9,0.890527280739895,0.75
0.9,0.6,0.5935924535540487,0.75
0.9,0.6,0.6791023191444896,0.77
0.9,0.3,0.7891712386073383,0.7
0.9,0.9,0.4984421989290573,0.82
0.3,0.6,0.08692028808742369,0.35
0.9,0.9,0.5371065418185478,0.83
0.6,0.9,0.5868411180208791,0.69
0.3,0.3,0.74543947418433,0.39
0.6,0.6,0.4316595462296794,0.57
0.6,0.3,0.12758030279556376,0.42
0.6,0.6,0.28377590579872447,0.54
0.9,0.6,0.3630822963986351,0.7
0.9,0.6,0.6459172413316012,0.76
0.3,0.6,0.5707783046689119,0.44
0.3,0.6,0.35609672589784624,0.4
0.9,0.9,0.9865152487929797,0.92
0.6,0.3,0.6057748193568872,0.51
0.3,0.9,0.23722679173599448,0.47
0.9,0.6,0.10178247262040374,0.65
0.9,0.3,0.15285913918433203,0.57
0.9,0.6,0.24595772838450813,0.68
0.6,0.3,0.16068137325955567,0.42
0.9,0.9,0.18656702405130576,0.76
0.9,0.3,0.2850951686938471,0.6
0.9,0.3,0.17337359529475482,0.57
0.9,0.3,0.8967654246264252,0.72
0.3,0.3,0.08023374566164221,0.26
0.3,0.3,0.5245113895702547,0.34
0.9,0.6,0.4103968269896615,0.71
0.6,0.3,0.9823786169086064,0.59
0.3,0.3,0.11203890216805235,0.26
0.9,0.9,0.39785559904574164,0.8
0.3,0.3,0.9694704332753689,0.43
0.3,0.9,0.8655071258939803,0.59
0.6,0.6,0.8170720709492799,0.64
0.9,0.3,0.25790282704493983,0.59
0.9,0.9,0.17088758739006582,0.75
0.6,0.9,0.668643219924431,0.7
0.6,0.6,0.9293759891275858,0.67
0.9,0.3,0.5567628930139298,0.65
0.9,0.3,0.5716126894698998,0.65
0.6,0.9,0.2799790936602842,0.63
0.3,0.3,0.7694929331919369,0.39
0.3,0.9,0.18704374855752337,0.46
0.6,0.3,0.3236792364042437,0.45
0.3,0.9,0.4254364386164168,0.51
0.6,0.3,0.507610378684455,0.49
0.3,0.6,0.24240973241508024,0.38
0.3,0.3,0.11483682473920354,0.26
0.9,0.3,0.6106200424416326,0.66
0.9,0.6,0.28863055324025577,0.69
0.3,0.3,0.5812382214226123,0.36
0.3,0.6,0.1543627152742023,0.36
0.9,0.3,0.4811401018548175,0.64
0.9,0.9,0.5325894325515859,0.83
0.9,0.9,0.05182353682242691,0.73
0.6,0.3,0.3366042781939206,0.46
0.3,0.3,0.13441467693897424,0.27
0.9,0.3,0.06337497047276774,0.55
0.3,0.9,0.9899602323899452,0.62
0.6,0.3,0.32235384497472297,0.45
0.6,0.9,0.8098744458546349,0.73
0.9,0.6,0.25464065476376385,0.68
0.6,0.9,0.6815027222239293,0.71
0.3,0.9,0.7602278598896866,0.57
0.9,0.6,0.5956387406078443,0.75
0.3,0.9,0.47157618855015837,0.51
0.3,0.3,0.41184091414726853,0.32
0.6,0.3,0.3488682665429953,0.46
0.6,0.9,0.9295291442478258,0.76
0.6,0.3,0.8306194077877291,0.56
0.6,0.9,0.9650269106665126,0.76
0.6,0.3,0.12429722348554473,0.41
